date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:26:21	2544/2544	---M--	200	added ('OK')	text/plain	etag:%229f0-5c936128c689e%22	https://www.qualtrics.com/robots.txt		(from )
08:26:22	360088/360088	---M-Z	200	added ('OK')	text/html	etag:%2257e98-5e384d442edf2-gzip%22	https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/uk/experience-management/research/determine-sample-size/index.html	(from )
08:26:22	16886/16886	---M-Z	200	added ('OK')	image/png	etag:%2241f6-5b3f0bb01699b-gzip%22	https://www.qualtrics.com/apple-touch-icon.png	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/apple-touch-icon.png	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:23	1262/1262	---M-Z	200	added ('OK')	image/png	etag:%224ee-5b3f1223956fe-gzip%22	https://www.qualtrics.com/favicon-32x32.png?v=1	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/favicon-32x323860.png	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:23	693/693	---M-Z	200	added ('OK')	image/png	etag:%222b5-5b3f1215f5102-gzip%22	https://www.qualtrics.com/favicon-16x16.png?v=1	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/favicon-16x163860.png	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:23	1262/1262	---M-Z	200	added ('OK')	image/png	etag:%224ee-5b3f1287de8a4-gzip%22	https://www.qualtrics.com/favicon.png?v=1	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/favicon3860.png	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:23	4942/4942	---M-Z	200	added ('OK')	text/css	etag:%22134e-5e0e2928b6a82-gzip%22	https://www.qualtrics.com/assets/dist/css/font.css	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/assets/dist/css/font.css	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:24	295204/295204	---M-Z	200	added ('OK')	text/css	etag:%2248124-5e0e292b4c60a-gzip%22	https://www.qualtrics.com/assets/dist/css/global.css?v=61	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/assets/dist/css/globalaca5.css	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:24	11438/11438	---M-Z	200	added ('OK')	application/javascript	etag:%222cae-5d5df0b648773-gzip%22	https://www.qualtrics.com/hreflang-routing/managed/definitions.js	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/hreflang-routing/managed/definitions.js	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:24	42432/42432	---M-Z	200	added ('OK')	application/javascript	etag:%22a5c0-5d94020a73a72-gzip%22	https://www.qualtrics.com/assets/dist/js/modules/internal-library.js?v=45	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/assets/dist/js/modules/internal-library7efa.js	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:25	46638/46638	---M-Z	200	added ('OK')	application/javascript	etag:%22b62e-5e33b9fc4f2a4-gzip%22	https://www.qualtrics.com/wp-content/themes/qualtrics/components/language-routing/q-language-routing.js?v=4	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/wp-content/themes/qualtrics/components/language-routing/q-language-routing7b30.js	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:26	8537/8537	---M-Z	200	added ('OK')	text/css	etag:%222159-5e1e2f4e7d05d-gzip%22	https://www.qualtrics.com/wp-content/themes/qualtrics/components/language-routing/q-language-routing.css?v=3	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/wp-content/themes/qualtrics/components/language-routing/q-language-routing30f4.css	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:26	308/308	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20Jul%202022%2008:26:26%20GMT	https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/urlSearchParams.js	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/uk/experience-management/research/determine-sample-size/urlSearchParams.js	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:29	255111/255111	---M-Z	404	error ('Not%20Found')	text/html	etag:%223e487-5e33b9d55c9f8-gzip%22	https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/urlsearchparams.js	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/uk/experience-management/research/determine-sample-size/urlsearchparams.js	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:29	255111/255111	---M-Z	404	error ('Not%20Found')	text/html	etag:%223e487-5e33b9d55c9f8-gzip%22	https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/promise.js	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/uk/experience-management/research/determine-sample-size/promise.js	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:30	304/304	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20Jul%202022%2008:26:30%20GMT	https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/customEvent.js	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/uk/experience-management/research/determine-sample-size/customEvent.js	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:31	255111/255111	---M-Z	404	error ('Not%20Found')	text/html	etag:%223e487-5e33b9e5c22f1-gzip%22	https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/customevent.js	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/uk/experience-management/research/determine-sample-size/customevent.js	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:32	255111/255111	---M-Z	404	error ('Not%20Found')	text/html	etag:%223e487-5e33b9e04eb27-gzip%22	https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/polyfill.min.js	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/uk/experience-management/research/determine-sample-size/polyfill.min.js	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
08:26:33	255111/255111	---M-Z	404	error ('Not%20Found')	text/html	etag:%223e487-5e33b9eb10a5b-gzip%22	https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/svg4everybody.js	C:/My%20Web%20Sites/Lumber%20project/www.qualtrics.com/uk/experience-management/research/determine-sample-size/svg4everybody.js	(from https://www.qualtrics.com/uk/experience-management/research/determine-sample-size/)
